,0,1,2,3,4,5,6,7,8,9,10,11
46,South Africa,2008,male,15-24 years,92,4976793,1.85,South Africa2008,,"287,099,991,517",6573,Millenials
47,Republic of Korea,2002,female,35-54 years,845,7092799,11.91,Republic of Korea2002,,"609,020,054,512",13501,Boomers
48,Chile,1999,female,55-74 years,26,934470,2.78,Chile1999,,"75,173,794,497",5470,Silent
49,Belgium,1988,female,5-14 years,1,595000,0.17,Belgium1988,,"163,167,853,538",17509,Generation X
50,Slovakia,1998,male,55-74 years,110,364300,30.19,Slovakia1998,,"29,828,899,206",5871,Silent
51,Australia,1989,female,35-54 years,130,2086700,6.23,Australia1989,,"299,317,645,143",19223,Silent
52,Japan,2001,male,75+ years,1692,3404000,49.71,Japan2001,,"4,303,544,259,843",35843,Silent
53,Ukraine,1994,male,5-14 years,60,3870700,1.55,Ukraine1994,,"52,549,555,149",1081,Millenials
54,Uzbekistan,1997,male,75+ years,13,93200,13.95,Uzbekistan1997,,"14,744,603,774",724,G.I. Generation
55,Hungary,1991,male,25-34 years,364,663374,54.87,Hungary1991,,"34,748,508,332",3561,Boomers
56,Argentina,2013,male,75+ years,168,699046,24.03,Argentina2013,0.833,"552,025,140,252",14206,Silent
57,Germany,2007,female,15-24 years,110,4678848,2.35,Germany2007,,"3,439,953,462,907",43667,Millenials
58,Costa Rica,1988,female,15-24 years,8,302900,2.64,Costa Rica1988,,"6,063,759,371",2460,Generation X
59,Barbados,1993,male,75+ years,1,5300,18.87,Barbados1993,,"2,046,189,032",8540,G.I. Generation
60,Luxembourg,2011,female,55-74 years,3,48023,6.25,Luxembourg2011,0.888,"60,004,630,234",122729,Boomers
61,Barbados,1986,male,15-24 years,2,26200,7.63,Barbados1986,,"1,556,321,742",6720,Generation X
62,United Kingdom,1986,female,5-14 years,2,3480190,0.06,United Kingdom1986,,"601,452,653,181",11323,Generation X
63,Antigua and Barbuda,1998,male,35-54 years,0,9086,0.0,Antigua and Barbuda1998,,"727,860,593",10078,Boomers
64,Singapore,1991,male,75+ years,16,25000,64.0,Singapore1991,,"45,474,442,836",17768,G.I. Generation
65,Armenia,2016,female,35-54 years,3,408109,0.74,Armenia2016,,"10,546,135,160",3788,Generation X
66,Latvia,2001,female,15-24 years,6,167768,3.58,Latvia2001,,"8,350,252,966",3724,Millenials
67,Suriname,2012,female,15-24 years,9,46713,19.27,Suriname2012,0.711,"4,980,000,000",10227,Millenials
68,Netherlands,2016,female,55-74 years,209,2037375,10.26,Netherlands2016,,"777,227,541,581",48108,Boomers
69,Finland,1987,female,15-24 years,26,341900,7.6,Finland1987,,"91,642,093,873",19861,Generation X
70,Spain,2004,male,25-34 years,421,3758199,11.2,Spain2004,,"1,069,555,500,372",26372,Generation X
71,Norway,1986,male,35-54 years,137,500900,27.35,Norway1986,,"78,693,253,276",20117,Silent
72,Cyprus,2012,male,5-14 years,0,47222,0.0,Cyprus2012,0.852,"25,041,372,222",30752,Generation Z
73,New Zealand,2009,female,35-54 years,42,634540,6.62,New Zealand2009,,"121,338,622,025",30259,Boomers
74,Albania,2007,female,55-74 years,9,221120,4.07,Albania2007,,"10,701,011,897",3863,Silent
75,Australia,2008,female,5-14 years,3,1340626,0.22,Australia2008,,"1,052,584,601,611",52315,Generation Z
76,Philippines,1993,male,75+ years,9,268392,3.35,Philippines1993,,"54,368,083,953",957,G.I. Generation
77,Iceland,2011,male,5-14 years,1,21828,4.58,Iceland2011,0.8959999999999999,"14,732,689,535",49861,Generation Z
78,Kazakhstan,2001,male,35-54 years,1519,1807120,84.06,Kazakhstan2001,,"22,152,694,162",1608,Boomers
79,Thailand,1995,female,55-74 years,120,3284191,3.65,Thailand1995,0.611,"169,278,552,851",3114,Silent
80,Saint Lucia,2010,male,5-14 years,0,14494,0.0,Saint Lucia2010,0.73,"1,381,968,259",8557,Generation Z
81,Greece,1989,male,55-74 years,70,956800,7.32,Greece1989,,"79,169,043,642",8310,G.I. Generation
82,Georgia,2007,female,35-54 years,7,651500,1.07,Georgia2007,,"10,172,869,680",2448,Boomers
83,New Zealand,2011,male,25-34 years,70,277600,25.22,New Zealand2011,0.907,"168,461,998,741",41184,Millenials
84,Cyprus,2007,male,25-34 years,4,55768,7.17,Cyprus2007,,"24,077,470,572",33048,Generation X
85,Luxembourg,2015,female,55-74 years,9,53878,16.7,Luxembourg2015,,"57,784,495,265",107456,Boomers
86,Czech Republic,1999,female,55-74 years,94,1061220,8.86,Czech Republic1999,,"64,867,483,193",6606,Silent
87,Belgium,2008,male,75+ years,174,341406,50.97,Belgium2008,,"518,625,897,173",51345,Silent
88,Japan,2000,male,75+ years,1619,3187143,50.8,Japan2000,0.857,"4,887,519,660,745",40813,G.I. Generation
89,Brazil,1990,female,15-24 years,304,14548740,2.09,Brazil1990,0.608,"461,951,782,000",3516,Generation X
90,Malta,1996,female,75+ years,0,9700,0.0,Malta1996,,"3,570,271,558",10254,G.I. Generation
91,Jamaica,1989,female,75+ years,0,44116,0.0,Jamaica1989,,"4,404,970,059",2087,G.I. Generation
92,Georgia,2009,male,55-74 years,36,343050,10.49,Georgia2009,,"10,766,809,099",2589,Silent
93,Mauritius,2006,male,15-24 years,17,96530,17.61,Mauritius2006,,"7,028,803,366",6246,Millenials
94,United Kingdom,2012,female,5-14 years,2,3521812,0.06,United Kingdom2012,0.9009999999999999,"2,662,085,168,499",44585,Generation Z
95,Iceland,2007,female,35-54 years,1,41594,2.4,Iceland2007,,"21,319,946,740",73590,Boomers
96,Malta,1990,female,55-74 years,0,30200,0.0,Malta1990,0.7290000000000001,"2,547,163,582",7780,G.I. Generation
97,Estonia,1997,female,25-34 years,7,94741,7.39,Estonia1997,,"5,066,240,419",3806,Generation X
98,Turkmenistan,1990,male,5-14 years,6,455200,1.32,Turkmenistan1990,,"3,189,539,641",1036,Generation X
99,Armenia,2014,male,15-24 years,3,230760,1.3,Armenia2014,0.733,"11,609,512,940",4142,Millenials
100,Saint Lucia,2005,female,75+ years,0,3072,0.0,Saint Lucia2005,0.691,"951,207,366",6292,Silent
101,Ukraine,1987,female,35-54 years,770,6881800,11.19,Ukraine1987,,"64,087,694,038",1353,Silent
102,Russian Federation,1998,male,15-24 years,5729,11040600,51.89,Russian Federation1998,,"270,953,116,950",1948,Generation X
103,Norway,1996,female,35-54 years,48,588700,8.15,Norway1996,,"163,517,783,497",40098,Boomers
104,Singapore,1994,female,35-54 years,39,429400,9.08,Singapore1994,,"73,777,792,327",27202,Boomers
105,Netherlands,1990,female,15-24 years,41,1147300,3.57,Netherlands1990,0.8290000000000001,"314,267,667,675",22425,Generation X
106,Turkmenistan,2001,male,55-74 years,22,145142,15.16,Turkmenistan2001,,"3,534,803,922",863,Silent
107,Belize,1987,female,35-54 years,0,10635,0.0,Belize1987,,"276,550,000",1920,Silent
108,United States,2000,female,15-24 years,570,19105073,2.98,United States2000,0.883,"10,284,779,000,000",39218,Generation X
109,Argentina,2011,male,75+ years,178,674738,26.38,Argentina2011,0.818,"530,163,281,575",13946,Silent
110,Azerbaijan,1995,female,15-24 years,0,622300,0.0,Azerbaijan1995,0.609,"3,052,467,522",462,Generation X
111,Brazil,1998,female,15-24 years,364,16629063,2.19,Brazil1998,,"863,723,411,633",5663,Generation X
112,Uzbekistan,1996,male,15-24 years,255,2231200,11.43,Uzbekistan1996,,"13,948,892,216",703,Generation X
113,Austria,1986,female,75+ years,110,345431,31.84,Austria1986,,"99,036,165,210",13911,G.I. Generation
114,Latvia,2013,male,25-34 years,53,143497,36.93,Latvia2013,0.816,"30,254,677,297",15820,Millenials
115,Bahamas,1993,female,15-24 years,0,26800,0.0,Bahamas1993,,"3,092,000,000",12698,Generation X
116,Lithuania,2010,male,5-14 years,1,161599,0.62,Lithuania2010,0.8270000000000001,"37,120,517,694",12584,Generation Z
117,Aruba,1995,female,75+ years,0,1295,0.0,Aruba1995,,"1,320,670,391",17949,G.I. Generation
118,Ukraine,1988,male,15-24 years,494,3509600,14.08,Ukraine1988,,"74,703,517,903",1571,Generation X
119,Norway,1991,female,15-24 years,14,314100,4.46,Norway1991,,"121,872,464,483",30678,Generation X
120,Paraguay,2007,male,15-24 years,44,633346,6.95,Paraguay2007,,"13,794,910,634",2599,Millenials
121,France,1998,female,25-34 years,316,4325400,7.31,France1998,,"1,503,108,739,159",27190,Generation X
122,Chile,1985,female,55-74 years,21,633700,3.31,Chile1985,0.654,"17,702,885,394",1658,G.I. Generation
123,Barbados,2001,male,35-54 years,1,37608,2.66,Barbados2001,,"3,116,650,000",12348,Boomers
124,Austria,2002,male,55-74 years,322,747406,43.08,Austria2002,,"213,377,771,504",27772,Silent
125,Belize,2006,male,75+ years,0,1687,0.0,Belize2006,,"1,217,467,600",4815,Silent
126,Thailand,2008,female,35-54 years,398,10132362,3.93,Thailand2008,,"291,383,081,232",4921,Boomers
127,Romania,1995,female,35-54 years,191,2913000,6.56,Romania1995,0.69,"37,662,075,750",1756,Boomers
128,Norway,1991,male,5-14 years,4,267100,1.5,Norway1991,,"121,872,464,483",30678,Millenials
129,Switzerland,2007,male,25-34 years,80,493019,16.23,Switzerland2007,,"479,913,034,322",66807,Generation X
130,United States,1985,female,5-14 years,73,16553000,0.44,United States1985,0.841,"4,346,734,000,000",19693,Generation X
131,Barbados,1993,female,5-14 years,0,20700,0.0,Barbados1993,,"2,046,189,032",8540,Millenials
132,Austria,1999,female,75+ years,108,385369,28.03,Austria1999,,"217,185,787,343",28722,G.I. Generation
133,New Zealand,1997,female,75+ years,5,115700,4.32,New Zealand1997,,"66,074,513,018",19041,G.I. Generation
134,Russian Federation,2014,male,5-14 years,96,7327888,1.31,Russian Federation2014,,"2,063,662,665,172",15319,Generation Z
135,Czech Republic,1999,male,75+ years,154,181079,85.05,Czech Republic1999,,"64,867,483,193",6606,G.I. Generation
136,Republic of Korea,2003,female,25-34 years,503,4221700,11.91,Republic of Korea2003,,"680,520,724,062",14971,Generation X
137,Japan,2012,female,5-14 years,20,5458000,0.37,Japan2012,0.888,"6,203,213,121,334",51379,Generation Z
138,Mexico,1997,male,25-34 years,721,7614070,9.47,Mexico1997,,"500,413,483,109",5864,Generation X
139,United Kingdom,2003,male,25-34 years,637,4023648,15.83,United Kingdom2003,,"2,038,395,102,041",36289,Generation X
140,Philippines,1993,male,5-14 years,0,8673303,0.0,Philippines1993,,"54,368,083,953",957,Millenials
141,Saint Vincent and Grenadines,2000,male,25-34 years,0,8625,0.0,Saint Vincent and Grenadines2000,0.674,"396,270,000",4087,Generation X
142,Bahrain,1987,male,5-14 years,0,43200,0.0,Bahrain1987,,"3,392,021,011",9321,Generation X
143,United States,1991,female,5-14 years,58,17520000,0.33,United States1991,,"6,174,043,000,000",26503,Millenials
144,Kiribati,1993,female,15-24 years,1,6579,15.2,Kiribati1993,,"46,919,625",735,Generation X
145,Qatar,1995,female,15-24 years,0,24859,0.0,Qatar1995,0.7829999999999999,"8,137,911,978",17559,Generation X
146,Bahrain,2003,male,5-14 years,0,70584,0.0,Bahrain2003,,"11,074,822,074",15756,Millenials
147,Uruguay,1999,female,75+ years,8,113267,7.06,Uruguay1999,,"23,983,945,191",7903,G.I. Generation
148,Guatemala,2003,male,25-34 years,51,801449,6.36,Guatemala2003,,"21,917,706,491",2079,Generation X
149,Republic of Korea,2001,female,15-24 years,228,3688341,6.18,Republic of Korea2001,,"533,052,076,314",11922,Millenials
150,Barbados,2006,male,55-74 years,1,19527,5.12,Barbados2006,,"4,246,600,000",16531,Silent
151,New Zealand,1999,male,5-14 years,3,303510,0.99,New Zealand1999,,"58,762,260,626",16556,Millenials
152,France,2002,male,25-34 years,1069,4093371,26.12,France2002,,"1,494,286,655,374",26714,Generation X
153,Maldives,2001,male,75+ years,0,1566,0.0,Maldives2001,,"870,179,739",3406,Silent
154,United States,2005,male,25-34 years,4066,20421260,19.91,United States2005,0.897,"13,093,726,000,000",47423,Generation X
155,Jamaica,1990,male,15-24 years,2,249414,0.8,Jamaica1990,0.6709999999999999,"4,592,224,067",2155,Generation X
156,Israel,2009,male,35-54 years,91,836965,10.87,Israel2009,,"207,419,370,241",30812,Boomers
157,Latvia,1998,female,75+ years,24,91900,26.12,Latvia1998,,"7,174,985,107",3061,G.I. Generation
158,Saint Lucia,1991,female,35-54 years,0,11148,0.0,Saint Lucia1991,,"513,753,818",4194,Boomers
159,Russian Federation,2001,male,15-24 years,6945,11547645,60.14,Russian Federation2001,,"306,602,673,980",2229,Millenials
160,Mauritius,2005,female,5-14 years,0,98568,0.0,Mauritius2005,0.722,"6,283,803,256",5641,Millenials
161,Thailand,1986,female,25-34 years,229,4396441,5.21,Thailand1986,,"43,096,746,122",911,Boomers
162,Italy,2012,female,15-24 years,44,2883565,1.53,Italy2012,0.872,"2,072,823,157,060",36497,Millenials
163,El Salvador,2005,female,25-34 years,22,475096,4.63,El Salvador2005,0.638,"14,698,001,400",2733,Generation X
164,Puerto Rico,2013,female,75+ years,0,137363,0.0,Puerto Rico2013,,"102,450,000,000",29510,Silent
165,Kazakhstan,1993,female,5-14 years,20,1726000,1.16,Kazakhstan1993,,"23,409,027,476",1527,Millenials
166,Seychelles,2013,female,35-54 years,0,14010,0.0,Seychelles2013,0.767,"1,328,091,524",16090,Generation X
167,Saint Lucia,2013,female,5-14 years,0,12956,0.0,Saint Lucia2013,0.7290000000000001,"1,489,928,889",9041,Generation Z
168,Netherlands,1990,female,55-74 years,145,1338000,10.84,Netherlands1990,0.8290000000000001,"314,267,667,675",22425,G.I. Generation
169,Jamaica,1989,male,25-34 years,0,179236,0.0,Jamaica1989,,"4,404,970,059",2087,Boomers
170,Philippines,1993,female,35-54 years,54,5754827,0.94,Philippines1993,,"54,368,083,953",957,Boomers
171,Maldives,2005,male,35-54 years,0,30244,0.0,Maldives2005,0.638,"1,163,362,438",4026,Boomers
172,Romania,2006,female,35-54 years,160,3052218,5.24,Romania2006,,"123,533,036,668",6018,Boomers
173,Belize,2004,male,55-74 years,3,7316,41.01,Belize2004,,"1,057,845,500",4449,Silent
174,France,1985,male,5-14 years,29,3837000,0.76,France1985,0.741,"553,138,414,367",10765,Generation X
175,Finland,1997,male,15-24 years,128,327400,39.1,Finland1997,,"126,833,123,354",26296,Generation X
176,Australia,1986,male,55-74 years,324,1211800,26.74,Australia1986,,"181,977,476,217",12288,G.I. Generation
177,Maldives,2003,male,15-24 years,0,39360,0.0,Maldives2003,,"1,052,121,055",3867,Millenials
178,United Kingdom,2006,male,55-74 years,656,5891585,11.13,United Kingdom2006,,"2,692,612,695,492",47163,Silent
179,Russian Federation,1989,male,55-74 years,6250,9383700,66.6,Russian Federation1989,,"506,500,173,960",3740,G.I. Generation
180,Saint Lucia,1998,female,15-24 years,0,14463,0.0,Saint Lucia1998,,"737,554,872",5407,Generation X
181,Antigua and Barbuda,1993,male,75+ years,0,896,0.0,Antigua and Barbuda1993,,"535,172,778",8453,G.I. Generation
182,Turkmenistan,2012,male,55-74 years,5,195269,2.56,Turkmenistan2012,0.677,"35,164,210,526",7498,Boomers
183,Mauritius,2015,male,5-14 years,0,86385,0.0,Mauritius2015,,"11,692,287,066",10125,Generation Z
184,Turkmenistan,2002,female,25-34 years,19,359375,5.29,Turkmenistan2002,,"4,461,978,499",1077,Generation X
185,Aruba,1999,female,35-54 years,0,14951,0.0,Aruba1999,,"1,722,798,883",21027,Boomers
186,Belgium,1990,female,25-34 years,81,781400,10.37,Belgium1990,0.8059999999999999,"206,430,841,502",22032,Boomers
187,Hungary,2012,female,15-24 years,15,586456,2.56,Hungary2012,0.823,"127,856,647,108",13525,Millenials
188,Barbados,1991,female,35-54 years,0,28000,0.0,Barbados1991,,"2,007,109,829",8469,Boomers
189,Argentina,1991,male,35-54 years,398,3580000,11.12,Argentina1991,,"189,719,984,268",6404,Boomers
190,Czech Republic,1995,male,25-34 years,180,695700,25.87,Czech Republic1995,0.785,"59,775,697,061",6134,Generation X
191,Spain,1998,male,75+ years,451,977600,46.13,Spain1998,,"617,041,986,858",16473,G.I. Generation
192,Malta,2011,female,15-24 years,0,27130,0.0,Malta2011,0.8220000000000001,"9,507,645,260",23984,Millenials
193,Suriname,2009,female,15-24 years,9,45374,19.84,Suriname2009,,"3,875,409,836",8238,Millenials
194,Japan,2005,female,55-74 years,2786,17011318,16.38,Japan2005,0.8740000000000001,"4,755,410,630,912",39412,Silent
195,Chile,2015,female,25-34 years,66,1359598,4.85,Chile2015,,"243,999,477,738",14729,Millenials
196,Iceland,1987,female,75+ years,0,6500,0.0,Iceland1987,,"5,438,537,482",24107,G.I. Generation
197,Germany,1995,female,75+ years,884,3692800,23.94,Germany1995,0.83,"2,591,620,035,485",33420,G.I. Generation
198,Puerto Rico,2002,female,5-14 years,1,294844,0.34,Puerto Rico2002,,"71,623,500,000",20325,Millenials
199,Belize,2002,male,55-74 years,1,7320,13.66,Belize2002,,"932,551,850",4161,Silent
200,Armenia,2007,female,75+ years,1,79210,1.26,Armenia2007,,"9,206,301,700",3366,Silent
201,Panama,2004,female,5-14 years,2,320682,0.62,Panama2004,,"15,013,381,700",5144,Millenials
202,Bahrain,2009,female,15-24 years,0,80832,0.0,Bahrain2009,,"22,938,218,085",20988,Millenials
203,Republic of Korea,2004,female,35-54 years,1154,7465643,15.46,Republic of Korea2004,,"764,880,644,711",16708,Boomers
204,Republic of Korea,1994,male,75+ years,105,227600,46.13,Republic of Korea1994,,"455,602,962,225",11073,G.I. Generation
205,Germany,2001,male,55-74 years,2415,8745869,27.61,Germany2001,,"1,950,648,769,575",24874,Silent
206,Jamaica,2006,female,25-34 years,0,205376,0.0,Jamaica2006,,"11,905,525,197",4738,Generation X
207,Kazakhstan,2006,male,35-54 years,1225,1915309,63.96,Kazakhstan2006,,"81,003,884,545",5770,Boomers
208,Japan,1994,female,5-14 years,21,6960000,0.3,Japan1994,,"4,907,039,384,470",41563,Millenials
209,Poland,1990,female,5-14 years,7,3237900,0.22,Poland1990,0.713,"65,977,749,037",1876,Generation X
210,Kyrgyzstan,2006,male,15-24 years,78,554568,14.07,Kyrgyzstan2006,,"2,834,168,889",610,Millenials
211,Ecuador,2000,female,55-74 years,9,531381,1.69,Ecuador2000,0.674,"18,327,764,882",1650,Silent
212,Costa Rica,2011,male,55-74 years,40,285540,14.01,Costa Rica2011,0.7559999999999999,"42,262,697,840",9978,Boomers
213,Sweden,2013,male,75+ years,110,333073,33.03,Sweden2013,0.905,"578,742,001,488",64133,Silent
214,Republic of Korea,2004,male,5-14 years,21,3616737,0.58,Republic of Korea2004,,"764,880,644,711",16708,Millenials
215,Seychelles,2014,male,75+ years,0,960,0.0,Seychelles2014,0.772,"1,342,997,306",16018,Silent
216,Nicaragua,2011,male,75+ years,7,47848,14.63,Nicaragua2011,0.623,"9,774,316,692",1888,Silent
217,Ecuador,1988,female,15-24 years,73,1027900,7.1,Ecuador1988,,"13,051,886,552",1519,Generation X
218,Lithuania,2007,female,35-54 years,60,485943,12.35,Lithuania2007,,"39,738,180,077",12869,Boomers
219,Netherlands,1991,male,25-34 years,198,1305600,15.17,Netherlands1991,,"323,320,449,906",22906,Boomers
220,Slovenia,1996,female,15-24 years,9,145000,6.21,Slovenia1996,,"21,480,023,017",11346,Generation X
221,Belarus,1997,male,5-14 years,8,809000,0.99,Belarus1997,,"14,128,408,566",1458,Millenials
222,Costa Rica,2012,female,15-24 years,10,403604,2.48,Costa Rica2012,0.7609999999999999,"46,473,128,286",10832,Millenials
223,Turkey,2013,female,25-34 years,87,6322406,1.38,Turkey2013,0.759,"950,579,413,279",13603,Millenials
224,Montenegro,2003,female,25-34 years,0,43857,0.0,Montenegro2003,,"1,707,710,053",2946,Generation X
225,Australia,1999,female,75+ years,21,630042,3.33,Australia1999,,"388,395,162,301",22016,G.I. Generation
226,Serbia,2012,female,75+ years,85,338375,25.12,Serbia2012,0.762,"40,742,313,861",5933,Silent
227,Kuwait,1987,male,25-34 years,6,249500,2.4,Kuwait1987,,"22,365,734,482",13924,Boomers
228,Croatia,1998,male,15-24 years,61,311800,19.56,Croatia1998,,"25,432,144,406",6015,Generation X
229,France,1987,male,5-14 years,33,3752400,0.88,France1987,,"934,173,305,686",17999,Generation X
230,Bahamas,2013,female,15-24 years,0,32613,0.0,Bahamas2013,0.7859999999999999,"10,627,600,000",30455,Millenials
231,France,2005,male,25-34 years,946,4047608,23.37,France2005,0.867,"2,196,126,103,718",38420,Generation X
232,Israel,2009,male,15-24 years,48,597179,8.04,Israel2009,,"207,419,370,241",30812,Millenials
233,Chile,1994,female,75+ years,3,207300,1.45,Chile1994,,"57,008,425,296",4551,G.I. Generation
234,Japan,2000,male,35-54 years,8023,17540437,45.74,Japan2000,0.857,"4,887,519,660,745",40813,Boomers
235,Italy,2006,female,35-54 years,298,8755013,3.4,Italy2006,,"1,942,633,797,516",34578,Boomers
236,Mexico,2004,female,15-24 years,238,10169971,2.34,Mexico2004,,"782,240,601,985",8217,Millenials
237,Cyprus,2000,male,15-24 years,0,84119,0.0,Cyprus2000,0.8,"10,183,317,625",11635,Generation X
238,Lithuania,1999,male,25-34 years,224,257244,87.08,Lithuania1999,,"10,972,878,636",3292,Generation X
239,Bulgaria,1987,female,25-34 years,28,625200,4.48,Bulgaria1987,,"28,101,000,000",3355,Boomers
240,Saint Vincent and Grenadines,1998,male,35-54 years,4,10556,37.89,Saint Vincent and Grenadines1998,,"373,619,852",3874,Boomers
241,Poland,1994,female,35-54 years,376,5316400,7.07,Poland1994,,"110,803,391,517",3081,Boomers
242,Albania,1993,female,75+ years,0,39300,0.0,Albania1993,,"1,228,071,038",437,G.I. Generation
243,Georgia,2015,male,55-74 years,34,320200,10.62,Georgia2015,,"13,993,546,732",4046,Boomers
244,Netherlands,2005,female,25-34 years,55,1071944,5.13,Netherlands2005,0.8909999999999999,"678,533,764,457",44289,Generation X
245,Ireland,1991,female,35-54 years,23,400200,5.75,Ireland1991,,"49,847,128,533",15328,Boomers
246,Colombia,1996,male,75+ years,33,248909,13.26,Colombia1996,,"97,160,109,278",2883,G.I. Generation
247,Belgium,1986,male,35-54 years,476,1237100,38.48,Belgium1986,,"120,661,220,336",12992,Silent
248,Greece,1991,male,25-34 years,38,720355,5.28,Greece1991,,"105,143,232,380",10816,Boomers
249,Estonia,1997,female,15-24 years,6,95553,6.28,Estonia1997,,"5,066,240,419",3806,Generation X
250,Netherlands,1986,female,15-24 years,44,1224400,3.59,Netherlands1986,,"198,298,498,021",14479,Generation X
251,Chile,2014,male,5-14 years,12,1280751,0.94,Chile2014,0.8320000000000001,"260,584,090,571",15883,Generation Z
252,Kuwait,2009,female,35-54 years,6,342583,1.75,Kuwait2009,,"105,899,930,507",33453,Boomers
